Name	WHO Region	Cases - cumulative total	Cases - cumulative total per 100000 population	Cases - newly reported in last 7 days	Cases - newly reported in last 7 days per 100000 population	Cases - newly reported in last 24 hours	Deaths - cumulative total	Deaths - cumulative total per 100000 population	Deaths - newly reported in last 7 days	Deaths - newly reported in last 7 days per 100000 population	Deaths - newly reported in last 24 hours	Transmission Classification
Global		134957021	1728.819501	4450234	57.00815908	646863	2918752	37.389647	75597	0.968408808	10712	
United States of America	Americas	30692226	9272.5	387764	117.15	0	554783	167.61	4244	1.28	0	Community transmission
Brazil	Americas	13373174	6291.5	463092	217.86	93317	348718	164.06	20512	9.65	3693	Community transmission
India	South-East Asia	13358805	968.03	873296	63.28	152879	169275	12.27	4652	0.34	839	Clusters of cases
France	Europe	4945238	7603.45	265444	408.13	43283	97956	150.61	2087	3.21	207	Community transmission
Russian Federation	Europe	4641390	3180.46	60496	41.45	8702	102986	70.57	2612	1.79	337	Clusters of cases
The United Kingdom	Europe	4368049	6434.39	16290	24	845	127080	187.2	254	0.37	40	Community transmission
Turkey	Europe	3798333	4503.65	353281	418.88	52676	33702	39.96	1624	1.93	248	Community transmission
Italy	Europe	3754077	6294.41	103830	174.09	17551	113923	191.01	3219	5.4	344	Clusters of cases
Spain	Europe	3336637	7049.34	28102	59.37	0	76179	160.94	189	0.4	0	Community transmission
Germany	Europe	2998268	3605.13	112882	135.73	17855	78353	94.21	1390	1.67	104	Community transmission
Poland	Europe	2574631	6782.82	136089	358.52	21733	58421	153.91	3480	9.17	245	Community transmission
Colombia	Americas	2504206	4921.51	76158	149.67	12125	65283	128.3	1506	2.96	269	Community transmission
Argentina	Americas	2497881	5526.8	124728	275.97	24130	57350	126.89	1327	2.94	228	Community transmission
Mexico	Americas	2272064	1762.21	24707	19.16	5045	207020	160.56	3166	2.46	874	Community transmission
Iran (Islamic Republic of)	Eastern Mediterranean	2049078	2439.58	128684	153.21	19666	64232	76.47	1233	1.47	193	Community transmission
Ukraine	Europe	1853249	4237.57	107540	245.9	12112	37014	84.63	2681	6.13	235	Community transmission
Peru	Americas	1628519	4939.12	60174	182.5	10655	54285	164.64	1954	5.93	307	Community transmission
Czechia	Europe	1580189	14776.49	28293	264.57	2217	27808	260.04	863	8.07	74	Community transmission
Indonesia	South-East Asia	1562868	571.38	35344	12.92	4723	42443	15.52	1201	0.44	95	Community transmission
South Africa	Africa	1557527	2626.14	6026	10.16	1285	53256	89.79	302	0.51	30	Community transmission
Netherlands	Europe	1342447	7711.85	47387	272.22	7725	16754	96.25	150	0.86	23	Community transmission
Chile	Americas	1068522	5589.61	49044	256.56	8101	24213	126.66	792	4.14	105	Community transmission
Canada	Americas	1045278	2769.52	50442	133.65	9255	23251	61.6	249	0.66	40	Community transmission
Romania	Europe	1002865	5188.44	32641	168.87	4310	25006	129.37	1033	5.34	139	Community transmission
Belgium	Europe	922487	8006	19779	171.66	4	23428	203.32	262	2.27	7	Community transmission
Iraq	Eastern Mediterranean	918155	2282.69	49955	124.2	6779	14678	36.49	248	0.62	37	Community transmission
Sweden	Europe	857401	8302.04	30382	294.18	0	13621	131.89	22	0.21	0	Community transmission
Philippines	Western Pacific	853209	778.61	69186	63.14	12674	14744	13.45	1321	1.21	224	Community transmission
Israel	Europe	835813	9656.39	1776	20.52	139	6292	72.69	57	0.66	12	Community transmission
Portugal	Europe	826928	8031.62	4066	39.49	601	16910	164.24	42	0.41	6	Clusters of cases
Hungary	Europe	720164	7371.53	34185	349.91	6296	23417	239.69	1702	17.42	206	Community transmission
Pakistan	Eastern Mediterranean	715968	324.13	33080	14.98	5139	15329	6.94	632	0.29	100	Community transmission
Bangladesh	South-East Asia	678937	412.25	48660	29.55	5343	9661	5.87	448	0.27	77	Community transmission
Jordan	Eastern Mediterranean	662395	6492.07	35520	348.13	3145	7708	75.55	578	5.66	62	Community transmission
Serbia	Europe	639476	9232.04	25111	362.52	3058	5700	82.29	278	4.01	41	Community transmission
Switzerland	Europe	614718	7102.77	9062	104.71	0	9750	112.66	42	0.49	0	Community transmission
Austria	Europe	571805	6424.01	19309	216.93	3559	9393	105.53	228	2.56	27	Community transmission
Japan	Western Pacific	503403	398.02	20536	16.24	3610	9382	7.42	161	0.13	29	Clusters of cases
Morocco	Eastern Mediterranean	501688	1359.2	3856	10.45	740	8891	24.09	49	0.13	6	Clusters of cases
Lebanon	Eastern Mediterranean	494633	7246.9	17520	256.69	2705	6630	97.14	251	3.68	38	Community transmission
United Arab Emirates	Eastern Mediterranean	481937	4872.77	13914	140.68	1931	1529	15.46	25	0.25	3	Clusters of cases
Saudi Arabia	Eastern Mediterranean	397636	1142.18	5627	16.16	878	6747	19.38	57	0.16	10	Community transmission
Bulgaria	Europe	371531	5344.63	19272	277.24	1352	14351	206.45	844	12.14	43	Clusters of cases
Slovakia	Europe	371062	6798.66	5820	106.63	589	10565	193.57	540	9.89	78	Clusters of cases
Malaysia	Western Pacific	359117	1109.55	9507	29.37	1510	1321	4.08	35	0.11	8	Clusters of cases
Panama	Americas	358098	8299.36	2248	52.1	394	6156	142.67	30	0.7	4	Community transmission
Ecuador	Americas	344877	1954.75	11702	66.33	2199	17275	97.91	365	2.07	117	Community transmission
Belarus	Europe	334863	3543.78	8798	93.11	1433	2344	24.81	68	0.72	10	Community transmission
Kazakhstan	Europe	315102	1678.15	9242	49.22	0	3812	20.3	0	0	0	Clusters of cases
"occupied Palestinian territory, including east Jerusalem"	Eastern Mediterranean	294639	5775.63	17509	343.22	1502	3102	60.81	161	3.16	26	Community transmission
Greece	Europe	293763	2740.69	20304	189.43	2799	8833	82.41	531	4.95	75	Community transmission
Croatia	Europe	292516	7208.09	12490	307.77	1617	6308	155.44	250	6.16	39	Community transmission
Georgia	Europe	288396	7229.46	4563	114.38	707	3877	97.19	66	1.65	8	Community transmission
Azerbaijan	Europe	283579	2796.86	14865	146.61	2192	3879	38.26	231	2.28	33	Clusters of cases
Bolivia (Plurinational State of)	Americas	280649	2404.25	6702	57.41	1442	12428	106.47	123	1.05	16	Community transmission
Nepal	South-East Asia	279725	960.04	1957	6.72	337	3039	10.43	7	0.02	1	Clusters of cases
Tunisia	Eastern Mediterranean	270297	2287.04	11962	101.21	1460	9235	78.14	304	2.57	56	Community transmission
Dominican Republic	Americas	257186	2370.83	3405	31.39	623	3385	31.2	51	0.47	3	Community transmission
Kuwait	Eastern Mediterranean	245704	5753.42	9715	227.49	1379	1403	32.85	64	1.5	10	Community transmission
Republic of Moldova	Europe	240886	5971.45	6492	160.93	830	5369	133.09	277	6.87	30	Community transmission
Ireland	Europe	240643	4847.33	2948	59.38	451	4783	96.35	68	1.37	14	Community transmission
Denmark	Europe	237101	4071.97	4383	75.27	755	2439	41.89	11	0.19	3	Community transmission
Paraguay	Americas	232142	3254.69	14256	199.87	2547	4698	65.87	404	5.66	54	Community transmission
Ethiopia	Africa	227255	197.68	13944	12.13	1739	3146	2.74	210	0.18	35	Community transmission
Lithuania	Europe	226173	8094.69	6462	231.27	865	3687	131.96	78	2.79	16	Community transmission
Slovenia	Europe	225951	10780.82	6524	311.28	1250	4408	210.32	27	1.29	5	Clusters of cases
Costa Rica	Americas	222544	4368.65	4095	80.39	2698	3018	59.24	44	0.86	18	Community transmission
Egypt	Eastern Mediterranean	209677	204.89	5421	5.3	801	12405	12.12	282	0.28	43	Community transmission
Armenia	Europe	202217	6824.2	5583	188.41	50	3735	126.04	143	4.83	15	Community transmission
Guatemala	Americas	201295	1123.58	6259	34.94	0	6977	38.94	102	0.57	0	Community transmission
Honduras	Americas	194548	1964.22	4822	48.68	765	4766	48.12	144	1.45	51	Community transmission
Qatar	Eastern Mediterranean	189064	6562.32	6516	226.17	964	331	11.49	30	1.04	7	Community transmission
Bosnia and Herzegovina	Europe	183125	5581.69	8279	252.35	1198	7358	224.27	555	16.92	60	Community transmission
Venezuela (Bolivarian Republic of)	Americas	172461	606.49	9731	34.22	1088	1739	6.12	110	0.39	19	Community transmission
Oman	Eastern Mediterranean	168005	3289.94	7987	156.4	0	1747	34.21	66	1.29	0	Community transmission
Libya	Eastern Mediterranean	166888	2428.77	5800	84.41	0	2807	40.85	123	1.79	0	Community transmission
Nigeria	Africa	163736	79.43	623	0.3	155	2060	1	2	0	2	Community transmission
Bahrain	Eastern Mediterranean	155402	9132.83	7632	448.53	1122	554	32.56	23	1.35	4	Community transmission
Kenya	Africa	145184	270	7107	13.22	1030	2330	4.33	124	0.23	21	Community transmission
Myanmar	South-East Asia	142576	262.04	97	0.18	18	3206	5.89	0	0	0	Clusters of cases
North Macedonia	Europe	141157	6775.38	8233	395.18	1092	4182	200.73	322	15.46	32	Community transmission
Uruguay	Americas	137946	3971.12	26378	759.36	7289	1363	39.24	322	9.27	88	Community transmission
Albania	Europe	128155	4453.23	1972	68.52	360	2310	80.27	54	1.88	6	Clusters of cases
Algeria	Africa	118378	269.95	854	1.95	127	3126	7.13	24	0.05	3	Community transmission
Estonia	Europe	114174	8591.13	4775	359.3	438	1020	76.75	79	5.94	0	Clusters of cases
Puerto Rico	Americas	113200	3956.86	4339	151.67	1440	2152	75.22	26	0.91	6	Community transmission
Republic of Korea	Western Pacific	109559	213.69	4280	8.35	614	1768	3.45	24	0.05	3	Clusters of cases
Latvia	Europe	107240	5621.5	3373	176.81	666	1986	104.11	63	3.3	5	Community transmission
China	Western Pacific	103083	7.01	216	0.01	17	4853	0.33	2	0	0	Clusters of cases
Norway	Europe	101959	1899.53	5189	96.67	0	684	12.74	11	0.2	0	Community transmission
